id,nome,email,telefone,cidade,estado,data_nascimento
1,Miguel da Paz,calebe57@gmail.com,11 2776-0037,Costela do Sul,AL,1944-12-24
2,Lucas Gabriel Costela,theopinto@uol.com.br,31 6040 9310,Santos Verde,RJ,1961-04-10
3,Sra. Valentina Rodrigues,cardosojoao-felipe@fogaca.br,(051) 4076-7608,da Conceição,MT,1959-06-24
4,Camila Vieira,agatha45@gmail.com,+55 (031) 5221 9140,Castro,BA,1984-05-03
5,Eduardo Freitas,da-cruzjoao-guilherme@bol.com.br,+55 (081) 2064 8928,Mendes,TO,2006-03-19
6,Vitor Hugo da Cunha,lrocha@ig.com.br,+55 (041) 1143-5789,Costa do Oeste,AC,1991-09-06
7,João Felipe da Mota,fogacadavi-lucca@moraes.com,+55 61 9348 7411,Barbosa,BA,1973-12-06
8,Maria Eduarda Gomes,duartebernardo@alves.com,(081) 9105 0569,Silva,AC,2003-08-17
9,Rafael da Luz,pietrafernandes@uol.com.br,(021) 6906 2405,Martins do Campo,MT,2004-02-11
10,Sophia da Paz,araujocamila@uol.com.br,+55 (031) 3694-0225,Mendes do Norte,PB,1975-08-22
11,Dr. Diogo Azevedo,qnascimento@bol.com.br,41 9217-4910,Campos da Praia,AC,1948-05-29
12,Nina Dias,ryanda-rocha@bol.com.br,+55 41 2438 0729,Moura do Campo,MA,1945-01-13
13,Dra. Maria Eduarda Barros,fariasdiogo@uol.com.br,+55 (084) 3580-1493,Almeida,MT,1991-10-29
14,Sr. João Miguel Silva,luiz-felipe84@vieira.com,0900 587 5307,Campos Verde,SE,2001-10-18
15,Luiz Gustavo Moreira,lsouza@ig.com.br,+55 (051) 5107 2940,Carvalho da Praia,RJ,1997-04-27
16,Benjamin Rodrigues,teixeirajoao-guilherme@da.br,+55 (021) 8483 6712,Moura da Praia,SP,1965-10-13
17,Srta. Maria Fernanda Castro,thomas89@moraes.com,41 4335-8224,Moraes de da Mota,RS,1961-09-01
18,Mariana das Neves,matheus68@uol.com.br,0900-295-8356,Carvalho,GO,1993-06-19
19,Sr. André das Neves,kaique67@bol.com.br,+55 31 6100 4392,Aragão da Prata,PB,1999-08-04
20,Vinicius Lima,diasian@correia.com,21 4014-8509,Gonçalves do Amparo,SE,1986-08-29
21,Rebeca Dias,moreiramaria@bol.com.br,41 8155 6363,Nascimento do Galho,RJ,1962-02-17
22,Gabriela da Rocha,fogacaluiza@hotmail.com,+55 (031) 0532 0853,Pinto do Amparo,RJ,1973-06-08
23,Maria Fogaça,piresvicente@goncalves.com,(031) 1395-4171,Alves de das Neves,SC,1975-02-22
